route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
P21,S2303-AMD-Weekday-57,3948431-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418864,P210487,1,1
P21,S2303-AMD-Weekday-57,3948432-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948433-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948434-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418864,P210484,1,1
P21,S2303-AMD-Weekday-57,3948435-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418864,P210487,1,1
P21,S2303-AMD-Weekday-57,3948436-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948437-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948438-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418864,P210484,1,1
P21,S2303-AMD-Weekday-57,3948439-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948440-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948441-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418869,P210485,1,1
P21,S2303-AMD-Weekday-57,3948442-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418869,P210486,1,1
P21,S2303-AMD-Weekday-57,3948443-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418869,P210485,1,1
P21,S2303-AMD-Weekday-57,3948444-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418869,P210484,1,1
P21,S2303-AMD-Weekday-57,3948445-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418869,P210487,1,1
